"associate, listed issuer regulation",2023/2/7,hong kong sar,https://hkex.wd3.myworkdayjobs.com/HKEXCareerPage/job/HK-TWO-ES-10F/Associate--Listed-Issuer-Regulation_R000261
legal counsel,2023/2/9,malaysia,https://klook.wd3.myworkdayjobs.com/KlookCareers/job/Kuala-Lumpur/Legal-Counsel_R-2533
ethics & compliance manager greater china,2023/2/9,china,https://rollsroyce.wd3.myworkdayjobs.com/professional/job/Shanghai/Ethics---Compliance-Manager-Greater-China_JR6102493
senior compliance manager,2023/2/9,china,https://astrazeneca.wd3.myworkdayjobs.com/Careers/job/China/Senior-Compliance-Manager_R-158637-1
legal counsel,2023/2/10,singapore,https://vantagedc.wd1.myworkdayjobs.com/Vantage/job/Singapore-Singapore/Legal-Counsel_R11486
r&d - pv manager,2023/2/13,china,https://sanofi.wd3.myworkdayjobs.com/SanofiCareers/job/Beijing/R-D---PV-Manager---Beijing-Chengdu_R2678843
"manager, corporate legal (banking and finance)",2023/2/15,singapore,https://averis.wd3.myworkdayjobs.com/RGE/job/Singapore/Manager--Corporate-Legal--Banking-and-Finance-_R140412
legal secretary,2023/2/15,hong kong sar,https://linklaters.wd3.myworkdayjobs.com/Linklaters/job/Hong-Kong/Legal-Secretary_R00008518
kyc onboarding compliance officer,2023/2/15,singapore,https://juliusbaer.wd3.myworkdayjobs.com/External/job/Singapore/KYC-Onboarding-Compliance-Officer_r-10254-1
"manager, life claims",2023/2/15,hong kong,https://fwd.wd3.myworkdayjobs.com/FWDcareersite/job/Hong-Kong---HK-Office/Manager--Life-Claims_R-0016529
legal counsel,2023/2/21,hong kong,https://pimco.wd1.myworkdayjobs.com/pimco-careers/job/Hong-Kong/Legal-Counsel_R102385
"(senior) manager, healthcare compliance - monitoring",2023/2/21,china,https://beigene.wd5.myworkdayjobs.com/BeiGene/job/Shanghai-KCC/XMLNAME--Senior--Manager--Healthcare-Compliance---Monitoring_R17682
privacy product manager,2023/2/21,singapore,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers/job/Singapore-WeWork/Privacy-Product-Manager_R100464-1
"chief compliance officer for asia, latam, mea regions & international manager - f/h",2023/2/22,france,https://gtsgbu.wd3.myworkdayjobs.com/Careers/job/Vlizy-Villacoublay/CHIEF-COMPLIANCE-OFFICER--FOR-ASIA--LATAM--MEA-REGIONS---INTERNATIONAL-MANAGER---F-H_R1001267-1
legal counsel,2023/2/22,china,https://maersk.wd3.myworkdayjobs.com/Maersk_Careers/job/CN---Shanghai/Legal-Counsel_R57037-1
accountant legal entity-gl,2023/2/22,china,https://cat.wd5.myworkdayjobs.com/CaterpillarCareers/job/Tianjin-Tianjin/Accountant-1_R0000183379
senior vice president - legal services,2023/2/24,hong kong sar,https://hkex.wd3.myworkdayjobs.com/HKEXCareerPage/job/HK-TWO-ES-9F/Senior-Vice-President---Legal-Services_R000148
"senior legal counsel, cloud",2023/2/26,singapore,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers/job/Singapore-WeWork/Senior-Legal-Counsel--Cloud_R100394-1
chief compliance officer n.asia,2023/2/27,hong kong,https://pimco.wd1.myworkdayjobs.com/pimco-careers/job/Hong-Kong/Chief-Compliance-Officer-NAsia_R102400
senior vice president - market policy and development,2023/2/27,hong kong sar,https://hkex.wd3.myworkdayjobs.com/HKEXCareerPage/job/HK-TWO-ES-34F/Market-Policy-and-Development---Senior-Vice-President_R000191
vice president - legal services,2023/2/27,hong kong sar,https://hkex.wd3.myworkdayjobs.com/HKEXCareerPage/job/HK-TWO-ES-9F/Vice-President---Legal-Services_R000495-2
sr. ip manager - beijing/shanghai,2023/2/28,china,https://astrazeneca.wd3.myworkdayjobs.com/Careers/job/China/Sr-IP-Manager---Beijing-Shanghai_R-160329-1
"team head ? vice president ? listing, listed issuer regulation (legal/ corporate finance)",2023/2/28,hong kong sar,https://hkex.wd3.myworkdayjobs.com/HKEXCareerPage/job/HK-TWO-ES-10F/Vice-President---Listing--Listed-Issuer-Regulation--Team-Head-_R000260
avp - listing - policy and secretariat services (legal - policy),2023/2/28,hong kong sar,https://hkex.wd3.myworkdayjobs.com/HKEXCareerPage/job/HK-TWO-ES-11F/AVP---Listing---Policy-and-Secretariat-Services_IRC26403-1
